jobName,jobAddrNoDesc,jobAddrNoDesc_en,custName,tech_skills,periodDesc,periodDesc_en,coIndustryDesc,coIndustryDesc_en,optionEdu,optionEdu_en
拍拍印-前後端工程師,台北市,Taipei City,先知鳥有限公司,"AWS, Git, MongoDB, Node.js, PostgreSQL, React",經歷不拘,Experience not required,其它軟體及網路相關業,Other IT,學歷不拘,No degree required
C#方案前 /後端系統程式工程師,台北市,Taipei City,瘋玩科技股份有限公司,"AWS, C#, C++, Git, MongoDB, Node.js, Python, RWD, SQL, Typescript, Vue",經歷不拘,Experience not required,電腦軟體服務業,Software Services,學歷不拘,No degree required
Front-End Game Developer (PixiJS) 前端遊戲開發工程師（PixiJS）,台北市,Taipei City,璽亦科技有限公司,"Git, HTML, Javascript, Node.js, RWD, Typescript, Vue",2年以上,2+ years,電腦軟體服務業,Software Services,專科,Associate Degree
軟體開發工程師_I00021074,台北市,Taipei City,國泰金控_國泰金融控股股份有限公司,".NET, C#",3年以上,3+ years,金融控股業,Financial Holding,大學,Bachelor's Degree
後端工程師 ｜ASP.NET MVC   (全職/台北市),台北市,Taipei City,延電科技有限公司,,經歷不拘,Experience not required,電腦軟體服務業,Software Services,高中,High School Diploma
【日本就職＠軟體工程師】網站 應用程式開發工程師,日本,Japan,台灣邁那比股份有限公司,,2年以上,2+ years,人力仲介代徵,Recruitment Agency,大學,Bachelor's Degree
兼職軟體工程師,高雄市,Kaohsiung City,巨獸科技有限公司,,經歷不拘,Experience not required,電腦系統整合服務業,System Integration,大學,Bachelor's Degree
Java軟體工程師(高雄),高雄市,Kaohsiung City,古吉系統科技股份有限公司,Java,經歷不拘,Experience not required,電腦軟體服務業,Software Services,專科,Associate Degree
【台北】軟體測試工程師,台北市,Taipei City,沛思坦網路股份有限公司,SQL,1年以上,1+ year,網際網路相關業,Internet,大學,Bachelor's Degree
Sr. Developer Advocate,台北市,Taipei City,Amazon Web Services Taiwan Limited_台灣亞馬遜網路服務有限公司,"AWS, Angular, Java, React, Vue",經歷不拘,Experience not required,網際網路相關業,Internet,學歷不拘,No degree required
後端工程師 | Backend Engineer,新北市,New Taipei City,卡未子數位創意有限公司,,3年以上,3+ years,電腦軟體服務業,Software Services,專科,Associate Degree
【AI軟體創新】全端工程師,新北市,New Taipei City,寶貝天璽有限公司,"AWS, CSS, Git, Javascript, MongoDB, Node.js, PostgreSQL, React, Typescript",1年以上,1+ year,電腦軟體服務業,Software Services,學歷不拘,No degree required
軟體工程師,台北市,Taipei City,大塊系統工程股份有限公司,"C#, Java",4年以上,4+ years,電腦系統整合服務業,System Integration,學歷不拘,No degree required
台北-程式設計師,台北市,Taipei City,長汎旅行社股份有限公司,"C#, CSS, HTML, Javascript, Vue",1年以上,1+ year,旅遊服務業,Tourism,專科,Associate Degree
"Software Engineer - Internship, E-commerce platform (Fully remote)",台北市,Taipei City,司裹科技股份有限公司,"AWS, Azure",經歷不拘,Experience not required,網際網路相關業,Internet,大學,Bachelor's Degree
全端工程師,台北市,Taipei City,台泥企業團_台泥儲能科技股份有限公司,"Angular, Git, Typescript",3年以上,3+ years,電力供應業,Power Supply,大學,Bachelor's Degree
後端整合工程師,台北市,Taipei City,智群智慧股份有限公司,,2年以上,2+ years,生化科技研發業,Biotech R&D,大學,Bachelor's Degree
Engineering Lead- Backend,台北市,Taipei City,新加坡商雲科有限公司,,5年以上,5+ years,其它軟體及網路相關業,Other IT,大學,Bachelor's Degree
Full-Stack Engineer/全端工程師 (Data Science &amp; AI Team),新北市,New Taipei City,鴻海精密工業股份有限公司,"Git, Java, Javascript, MongoDB, PostgreSQL, Python, SQL, Vue",3年以上,3+ years,消費性電子產品製造業,Consumer Electronics,碩士,Master's Degree
系統開發工程師,台北市,Taipei City,博而美國際股份有限公司,Java,經歷不拘,Experience not required,其他零售業,Other Retail,大學,Bachelor's Degree
Flutter 軟體工程師,新北市,New Taipei City,滙品電商股份有限公司,,經歷不拘,Experience not required,網際網路相關業,Internet,專科,Associate Degree
前端網頁工程師,台北市,Taipei City,新橋創想影像科技股份有限公司,"CSS, Git, HTML, Javascript, RWD, React",2年以上,2+ years,多媒體傳播相關業,Multimedia,學歷不拘,No degree required
訂房平台軟體工程師,台北市,Taipei City,德安資訊股份有限公司,"CSS, Git, HTML, Java, Javascript, Node.js, SQL, Vue",2年以上,2+ years,電腦系統整合服務業,System Integration,專科,Associate Degree
拍拍印-AI影像算法工程師,台北市,Taipei City,先知鳥有限公司,"AWS, Azure, C++, Git, Node.js, Python",經歷不拘,Experience not required,其它軟體及網路相關業,Other IT,專科,Associate Degree
全端工程師 Full Stack Engineer,台北市,Taipei City,移動商務股份有限公司,"AWS, Angular, CSS, Git, Java, Javascript, Python, React, Vue",經歷不拘,Experience not required,多媒體傳播相關業,Multimedia,大學,Bachelor's Degree
亂搭 網站開發工程師,台北市,Taipei City,巴比樂視網路科技股份有限公司,"AWS, MongoDB, Node.js, PostgreSQL, SQL",經歷不拘,Experience not required,網際網路相關業,Internet,大學,Bachelor's Degree
(台北)全端資深工程師,台北市,Taipei City,華城電機股份有限公司,"Node.js, Vue",2年以上,2+ years,電力機械器材製造修配業,Power Machinery,專科,Associate Degree
後端工程師,新北市,New Taipei City,士芃科技股份有限公司,"AWS, Django, Git, MongoDB, Python",1年以上,1+ year,建築及工程技術服務業,Engineering Services,專科,Associate Degree
"台北區_後端開發工程師  (電子商務 , 國際品牌 , 鞋類, 服飾類)",新北市,New Taipei City,友星有限公司,".NET, Azure, C#, Git, SQL",1年以上,1+ year,鞋類／布類／服飾品零售業,Apparel Retail,學歷不拘,No degree required
全端工程師(智慧社區),台北市,Taipei City,統一資訊股份有限公司,"C#, Java, SQL",3年以上,3+ years,電腦系統整合服務業,System Integration,大學,Bachelor's Degree
R0006775:【新鮮人募集！】 Software Engineer,台北市,Taipei City,Trend Micro_趨勢科技股份有限公司,"AWS, Azure, C++, Java, Python",經歷不拘,Experience not required,電腦軟體服務業,Software Services,大學,Bachelor's Degree
前端工程師,台中市,Taichung City,思克工業自動化_思克軟體科技有限公司,".NET, C#, CSS, Git, HTML, Javascript, Vue",經歷不拘,Experience not required,自動控制相關業,Automation,大學,Bachelor's Degree
