jobName,jobAddrNoDesc,jobAddrNoDesc_en,custName,tech_skills,periodDesc,periodDesc_en,coIndustryDesc,coIndustryDesc_en,optionEdu,optionEdu_en
資訊系統開發工程師,台中市,Taichung City,台中銀租賃事業股份有限公司,,經歷不拘,Experience not required,其他金融及輔助業,Other Finance,學歷不拘,No degree required
AI Agent 工程師 (AI Agent Engineer),台北市,Taipei City,詠鋐智能股份有限公司,Python,3年以上,3+ years,電腦軟體服務業,Software Services,專科,Associate Degree
【開發部】軟體開發工程師,新北市,New Taipei City,鋒形科技有限公司,"Git, Javascript, Vue",2年以上,2+ years,電腦軟體服務業,Software Services,大學,Bachelor's Degree
Full-Stack Developer | 全端工程師,台北市,Taipei City,ULTRON 奧創_薩摩亞商奧創物聯有限公司台灣分公司,"React, Vue",5年以上,5+ years,其它軟體及網路相關業,Other IT,大學,Bachelor's Degree
M-全端工程師,台北市,Taipei City,盛威資訊服務股份有限公司,"CSS, Git, HTML, Javascript, React, SQL, Vue",1年以上,1+ year,電腦軟體服務業,Software Services,專科,Associate Degree
【PayEasy】.NET 網站開發工程師_3965,台北市,Taipei City,PayEasy_康迅數位整合股份有限公司,".NET, C#, CSS, Git, HTML, Javascript, SQL, Vue",1年以上,1+ year,網際網路相關業,Internet,大學,Bachelor's Degree
越南(Local Hire)-產品研發程式設計師,越南,Vietnam,天微資訊股份有限公司,,2年以上,2+ years,電腦軟體服務業,Software Services,大學,Bachelor's Degree
【PayEasy】.NET 網站開發工程師_3965,台北市,Taipei City,PayEasy_康迅數位整合股份有限公司,".NET, C#, CSS, Git, HTML, Javascript, SQL, Vue",1年以上,1+ year,網際網路相關業,Internet,大學,Bachelor's Degree
Golang工程師,台中市,Taichung City,博凡星國際有限公司,"Git, MongoDB, PostgreSQL",2年以上,2+ years,網際網路相關業,Internet,大學,Bachelor's Degree
後端工程師(台南市永康區),台南市,Tainan City,鞍泰智造股份有限公司,".NET, C#, Git, PostgreSQL",2年以上,2+ years,電腦系統整合服務業,System Integration,學歷不拘,No degree required
Wordpress 網站設計師,台北市,Taipei City,摩新國際科技有限公司,RWD,經歷不拘,Experience not required,綜合商品批發代理業,General Wholesale,高中,High School Diploma
【系統管理】SRE/DevOps工程師,台北市,Taipei City,中國信託產物保險股份有限公司,,3年以上,3+ years,產物保險業,General Insurance,大學,Bachelor's Degree
Frontend Developer,台北市,Taipei City,勝和科技有限公司,,3年以上,3+ years,電腦軟體服務業,Software Services,大學,Bachelor's Degree
Web service軟體設計工程師,新竹市,Hsinchu City,達擎股份有限公司,,3年以上,3+ years,光學器材製造業,Optics,碩士,Master's Degree
Node.js 後端工程師,高雄市,Kaohsiung City,鈦極網絡科技有限公司,"Git, Node.js, SQL",經歷不拘,Experience not required,數位內容產業,Digital Content,大學,Bachelor's Degree
資深前端軟體工程師,新北市,New Taipei City,台灣智慧雲端服務股份有限公司,"HTML, Vue",2年以上,2+ years,電腦軟體服務業,Software Services,大學,Bachelor's Degree
UI Designer 前端設計師 ( UI Designer &amp; Front-End Engineer (with AI-Driven) ),台北市,Taipei City,學思行數位行銷股份有限公司,"Angular, CSS, Git, HTML, Javascript, React, Vue",2年以上,2+ years,文教／育樂用品零售業,Educational Supplies,大學,Bachelor's Degree
前端工程師【F】,新北市,New Taipei City,富威電力股份有限公司,"CSS, Git, HTML, Javascript, RWD, React",1年以上,1+ year,電力供應業,Power Supply,大學,Bachelor's Degree
PHP資深工程師,台北市,Taipei City,拍付國際資訊股份有限公司,"Git, SQL",2年以上,2+ years,網際網路相關業,Internet,大學,Bachelor's Degree
Web程式設計工程師(台北),新北市,New Taipei City,新人類資訊科技股份有限公司,,1年以上,1+ year,電腦軟體服務業,Software Services,專科,Associate Degree
網頁視覺設計師Visual Designer,台南市,Tainan City,鉅潞科技有限公司,"CSS, HTML, RWD",2年以上,2+ years,網際網路相關業,Internet,專科,Associate Degree
前端工程師 // Frontend Engineer,高雄市,Kaohsiung City,福懋建設股份有限公司,"React, Typescript",5年以上,5+ years,建築工程業,Construction,大學,Bachelor's Degree
網頁後端工程師（GoLang）,台中市,Taichung City,瀚品數位科技有限公司,,經歷不拘,Experience not required,電腦軟體服務業,Software Services,大學,Bachelor's Degree
軟體工程師,台北市,Taipei City,誠聚行有限公司,"CSS, Javascript",3年以上,3+ years,電腦系統整合服務業,System Integration,專科,Associate Degree
C# fullstack,台北市,Taipei City,FPT_艾福提資訊有限公司,".NET, C#, CSS, HTML, Javascript, SQL, Vue",經歷不拘,Experience not required,電腦軟體服務業,Software Services,大學,Bachelor's Degree
軟體工程師,桃園市,Taoyuan City,立柏智能醫事檢驗所,"Azure, C#",1年以上,1+ year,其他醫療保健服務業,Other Healthcare,專科,Associate Degree
Unity遊戲開發工程師,桃園市,Taoyuan City,勝鑫科技股份有限公司,,2年以上,2+ years,網際網路相關業,Internet,專科,Associate Degree
.NET程式設計師(新北市),新北市,New Taipei City,前進國際股份有限公司,".NET, C#, CSS, Javascript, SQL",5年以上,5+ years,電腦軟體服務業,Software Services,專科,Associate Degree
網站工程師,新北市,New Taipei City,洛芙瀾科技有限公司,"Javascript, Python, React",經歷不拘,Experience not required,網際網路相關業,Internet,學歷不拘,No degree required
後端工程師（Python方向）｜API產品設計開發,台北市,Taipei City,創造智能科技股份有限公司,"AWS, Django, Java, PostgreSQL, Python",3年以上,3+ years,網際網路相關業,Internet,專科,Associate Degree
神不在場台南－密室機關技術員,台南市,Tainan City,密室逃脫_神不在場有限公司,,經歷不拘,Experience not required,休閒服務業,Leisure Services,高中,High School Diploma
Java 軟體工程師,台北市,Taipei City,隼征股份有限公司,"Java, SQL",經歷不拘,Experience not required,電腦軟體服務業,Software Services,專科,Associate Degree
軟體工程師,新北市,New Taipei City,智惠創富股份有限公司,".NET, SQL",經歷不拘,Experience not required,其他金屬相關製造業,Other Metal Manufacturing,專科,Associate Degree
Front-End Engineer 前端工程師,台北市,Taipei City,艾普拉斯數位顧問股份有限公司,"Angular, CSS, Git, HTML, RWD, Vue",1年以上,1+ year,電腦軟體服務業,Software Services,專科,Associate Degree
Front-End Developer,台北市,Taipei City,美商昇迪凡科技術有限公司台灣分公司,"Angular, CSS, Git, HTML, Javascript, React, Vue",經歷不拘,Experience not required,電腦軟體服務業,Software Services,大學,Bachelor's Degree
APP開發工程師 (Flutter),台北市,Taipei City,延電科技有限公司,,經歷不拘,Experience not required,電腦軟體服務業,Software Services,學歷不拘,No degree required
資深前端工程師(L),台北市,Taipei City,恆昌科技有限公司,Vue,5年以上,5+ years,電腦軟體服務業,Software Services,大學,Bachelor's Degree
[HQ - Taipei] Product Manager/Program Manager - AI Transformation,台北市,Taipei City,菜蟲農食股份有限公司,,4年以上,4+ years,農／畜／水產品零售業,Agriculture Retail,大學,Bachelor's Degree
【雲端系統部】前端工程師 (中和),新北市,New Taipei City,昇銳智慧科技股份有限公司,"CSS, HTML, Javascript, Vue",1年以上,1+ year,光學器材製造業,Optics,大學,Bachelor's Degree
後台管理系統前端、全端工程師,台北市,Taipei City,遊戲雲端科技股份有限公司,"CSS, HTML, Javascript, Typescript",1年以上,1+ year,電腦軟體服務業,Software Services,專科,Associate Degree
程式軟體工程師,台中市,Taichung City,台灣塔奇恩科技股份有限公司,C#,經歷不拘,Experience not required,光學器材製造業,Optics,專科,Associate Degree
後端工程師（Java方向）｜API產品設計開發,台北市,Taipei City,創造智能科技股份有限公司,"AWS, Java, Node.js, PostgreSQL, Python, Spring",3年以上,3+ years,網際網路相關業,Internet,專科,Associate Degree
APP工程師,桃園市,Taoyuan City,智遊旅程股份有限公司,"CSS, HTML, Java, Javascript, Node.js, RWD, React, Vue",5年以上,5+ years,其它軟體及網路相關業,Other IT,大學,Bachelor's Degree
軟體工程師,新北市,New Taipei City,鳳凰資通物聯網科技股份有限公司,"C#, SQL",2年以上,2+ years,消費性電子產品製造業,Consumer Electronics,大學,Bachelor's Degree
後端工程師 | Backend Engineer - Data Product,台北市,Taipei City,街口電子支付股份有限公司,".NET, SQL",2年以上,2+ years,網際網路相關業,Internet,大學,Bachelor's Degree
前端網頁設計師,台北市,Taipei City,吉恩立數位科技股份有限公司,"CSS, HTML, RWD",2年以上,2+ years,電腦軟體服務業,Software Services,專科,Associate Degree
Software Engineer II ,新北市,New Taipei City,美商諾信高科技有限公司台灣分公司,".NET, C#, C++",2年以上,2+ years,其他半導體相關業,Other Semiconductor,大學,Bachelor's Degree
資料及數據工程師,台北市,Taipei City,恒吉佳國際有限公司,"Python, SQL, Typescript",3年以上,3+ years,藝文服務業,Art & Culture Services,大學,Bachelor's Degree
後端資深工程師(投保通),台北市,Taipei City,(總公司)南山人壽保險股份有限公司,Git,經歷不拘,Experience not required,人身保險業,Life Insurance,大學,Bachelor's Degree
軟體工程師,新竹縣,Hsinchu County,禾榮科技股份有限公司,,1年以上,1+ year,醫療器材製造業,Medical Devices,大學,Bachelor's Degree
【SaaS】前端工程師 / Jr.Frontend Engineer (React.js、Redux),台北市,Taipei City,鼎恒數位科技股份有限公司,"CSS, Git, HTML, Javascript, React, Typescript, Vue",經歷不拘,Experience not required,電腦軟體服務業,Software Services,專科,Associate Degree
系統工程師,新北市,New Taipei City,永盛車電股份有限公司,,經歷不拘,Experience not required,其他電子零組件相關業,Other Electronic Components,大學,Bachelor's Degree
JC1001-EAP自動化開發工程師-新竹區,新竹縣,Hsinchu County,頎邦科技股份有限公司,,2年以上,2+ years,半導體製造業,Semiconductor Manufacturing,大學,Bachelor's Degree
前端工程師,台北市,Taipei City,安特庫資訊科技有限公司,"CSS, Git, HTML, RWD, Vue",經歷不拘,Experience not required,電腦軟體服務業,Software Services,專科,Associate Degree
開發工程師 - AI產品,台北市,Taipei City,歐斯瑞有限公司,,3年以上,3+ years,網際網路相關業,Internet,大學,Bachelor's Degree
【YouNow】Sr. / Jr. Video engineer,台北市,Taipei City,SoundOn_聲浪媒體科技股份有限公司,"AWS, C++",3年以上,3+ years,多媒體傳播相關業,Multimedia,大學,Bachelor's Degree
軟體工程師,新北市,New Taipei City,眾里科技股份有限公司,"AWS, MongoDB, Node.js, React, Typescript",1年以上,1+ year,醫療器材製造業,Medical Devices,專科,Associate Degree
【H5】遊戲前端開發工程師,桃園市,Taoyuan City,勝鑫科技股份有限公司,"C#, C++",經歷不拘,Experience not required,網際網路相關業,Internet,學歷不拘,No degree required
DevOps 雲端工程師（時薪制薪水無上限，時間彈性運用）,台北市,Taipei City,快組隊股份有限公司,"AWS, Azure",3年以上,3+ years,電腦軟體服務業,Software Services,大學,Bachelor's Degree
【全端開發工程師(風控系統)】Full-Stack Developer (Risk Management Systems),台北市,Taipei City,智鈦星平台服務有限公司,,3年以上,3+ years,數位內容產業,Digital Content,大學,Bachelor's Degree
資深前端工程師 / Senior Software Engineer - Frontend (React),台北市,Taipei City,奕界科技有限公司,"CSS, HTML, Javascript, React, Typescript",5年以上,5+ years,電腦軟體服務業,Software Services,專科,Associate Degree
Backend Engineer/後端軟體工程師 .NET C#（產品部門）,台中市,Taichung City,宇利峯有限公司,".NET, C#, Git, SQL",3年以上,3+ years,電腦軟體服務業,Software Services,學歷不拘,No degree required
【活用英文】【日商】前端工程師 Frontend Engineer,台北市,Taipei City,日商卓一智能科技股份有限公司台灣分公司,"AWS, CSS, Git, HTML, Javascript, React, Typescript, Vue",經歷不拘,Experience not required,廣告行銷公關業,Advertising & PR,專科,Associate Degree
UI/UX(VR/AR/MR),台北市,Taipei City,MyGo商學苑_平安房屋仲介股份有限公司,,經歷不拘,Experience not required,不動產經營業,Real Estate,高中,High School Diploma
(資訊類)網站全端工程師-SES,台中市,Taichung City,華廣生技股份有限公司,,2年以上,2+ years,醫療器材製造業,Medical Devices,大學,Bachelor's Degree
【金融業】.Net前端工程師 (中和區),新北市,New Taipei City,華威數位財金科技股份有限公司,Vue,2年以上,2+ years,電腦軟體服務業,Software Services,專科,Associate Degree
後端工程師(Golang),台中市,Taichung City,向雲科技股份有限公司,"Git, MongoDB, PostgreSQL",2年以上,2+ years,電腦系統整合服務業,System Integration,專科,Associate Degree
【台北】前端工程師/Front-end Developer(保障年薪13個月)-部分遠端,台北市,Taipei City,新逸資訊科技有限公司,"Angular, CSS, Git, HTML, Javascript, Vue",經歷不拘,Experience not required,其它軟體及網路相關業,Other IT,專科,Associate Degree
Sr. FE Engineer 資深前端⼯程師(React),台北市,Taipei City,雲策數據有限公司,"CSS, Git, HTML, Javascript, RWD, React, Typescript",5年以上,5+ years,電腦軟體服務業,Software Services,大學,Bachelor's Degree
軟體｜Senior－後端工程師,台北市,Taipei City,區塊行動有限公司,,2年以上,2+ years,電腦軟體服務業,Software Services,高中,High School Diploma
程式設計師,台北市,Taipei City,社團法人方舟協會,,經歷不拘,Experience not required,其他組織,Other Organizations,大學,Bachelor's Degree
前端工程師,台北市,Taipei City,薩爾文科技股份有限公司,"CSS, Git, React, Typescript",1年以上,1+ year,其它軟體及網路相關業,Other IT,大學,Bachelor's Degree
【Software】Full Stack Engineer,台北市,Taipei City,未來市股份有限公司,"Angular, Django, React, Vue",2年以上,2+ years,電腦軟體服務業,Software Services,大學,Bachelor's Degree
網站維護管理人員,台北市,Taipei City,仨也音樂股份有限公司,"CSS, HTML, Java, RWD",經歷不拘,Experience not required,文教／育樂用品零售業,Educational Supplies,學歷不拘,No degree required
網頁切版工程師,台中市,Taichung City,順久資訊有限公司,"CSS, HTML, RWD",1年以上,1+ year,電腦軟體服務業,Software Services,學歷不拘,No degree required
Front-End Developer(經紀系統部),新北市,New Taipei City,永豐金證券股份有限公司,,經歷不拘,Experience not required,證券及期貨業,Securities,專科,Associate Degree
軟體工程師,台北市,Taipei City,禾麟數碼科技股份有限公司,,經歷不拘,Experience not required,其它軟體及網路相關業,Other IT,專科,Associate Degree
&lt;Atlas&gt;前端工程師 Frontend Engineer | CBU_09_07,新北市,New Taipei City,伊雲谷數位科技股份有限公司,"CSS, HTML, Javascript, Vue",2年以上,2+ years,網際網路相關業,Internet,大學,Bachelor's Degree
【薪優 】【資訊 - 前端工程師 Angular】擴大編制 2025.,台北市,Taipei City,大展證券股份有限公司,Angular,1年以上,1+ year,證券及期貨業,Securities,專科,Associate Degree
《技術部》前端介面工程師,花蓮縣,Hualien County,千享國際企業股份有限公司,"Angular, CSS, Git, HTML, Javascript, Node.js, RWD, React, Vue",2年以上,2+ years,電腦軟體服務業,Software Services,專科,Associate Degree
ICC_ Backend Engineer (Cloud Services Team),新竹市,Hsinchu City,Zyxel Networks_兆勤科技股份有限公司(合勤集團),,1年以上,1+ year,通訊機械器材相關業,Communications Equipment,大學,Bachelor's Degree
Golang 遊戲開發工程師,台北市,Taipei City,天晴資訊有限公司,MongoDB,經歷不拘,Experience not required,其它軟體及網路相關業,Other IT,大學,Bachelor's Degree
總部功能 資安資訊中心-網頁全端工程師(AI平台),台北市,Taipei City,光寶科技股份有限公司,"Python, React",3年以上,3+ years,消費性電子產品製造業,Consumer Electronics,碩士,Master's Degree
DN-自動化軟體工程師 (工作地：新竹工業區_湖口),新竹縣,Hsinchu County,鴻佰科技股份有限公司,,3年以上,3+ years,電腦及其週邊設備製造業,Computer Hardware,大學,Bachelor's Degree
[外商] 官網維護專員_(承攬性質),台北市,Taipei City,美商悠樂芳有限公司台灣分公司,,經歷不拘,Experience not required,傳直銷相關業,Direct Selling,專科,Associate Degree
【台北】SaaS Frontend Developer,台北市,Taipei City,沛思坦網路股份有限公司,,3年以上,3+ years,網際網路相關業,Internet,大學,Bachelor's Degree
軟體工程師/高級軟體工程師,新北市,New Taipei City,艾陽科技股份有限公司,,2年以上,2+ years,電腦軟體服務業,Software Services,大學,Bachelor's Degree
UI/UX設計師,台中市,Taichung City,瑞麗智慧股份有限公司,,7年以上,7+ years,電腦軟體服務業,Software Services,大學,Bachelor's Degree
Senior Backend Development / 資深後端軟體工程師(c#),台中市,Taichung City,宇利峯有限公司,".NET, C#, Git, PostgreSQL, SQL",3年以上,3+ years,電腦軟體服務業,Software Services,學歷不拘,No degree required
軟體工程師/高級軟體工程師,新北市,New Taipei City,艾陽科技股份有限公司,,2年以上,2+ years,電腦軟體服務業,Software Services,大學,Bachelor's Degree
(11)【2025資訊轉型與創新】web應用系統資深開發工程師,新北市,New Taipei City,鴻海精密工業股份有限公司,,3年以上,3+ years,消費性電子產品製造業,Consumer Electronics,大學,Bachelor's Degree
資深前端工程師(ReactJS),台北市,Taipei City,印尼商奧拉創意有限公司台灣分公司,"CSS, HTML, Javascript, Typescript",2年以上,2+ years,電腦軟體服務業,Software Services,專科,Associate Degree
後端工程師,台北市,Taipei City,台鋼新零售股份有限公司,,2年以上,2+ years,網際網路相關業,Internet,專科,Associate Degree
Java軟體工程師(南投),南投縣,Nantou County,醫盟健康實業股份有限公司,Java,經歷不拘,Experience not required,電腦系統整合服務業,System Integration,專科,Associate Degree
Backend Engineer,新北市,New Taipei City,樺緯物聯股份有限公司,"AWS, Git, Python",2年以上,2+ years,多媒體傳播相關業,Multimedia,專科,Associate Degree
【台中/台北】前端職缺_Vue/React/Angular_歡迎投遞履歷詳談！,台中市,Taichung City,布魯斯人事顧問有限公司,"Angular, CSS, HTML, Javascript, React, Vue",3年以上,3+ years,人力仲介代徵,Recruitment Agency,大學,Bachelor's Degree
5S元富證券-C#.NET軟體設計工程師,台北市,Taipei City,元富證券股份有限公司,,3年以上,3+ years,證券及期貨業,Securities,大學,Bachelor's Degree
"資深資料科學工程師 Sr. Data R&amp;D Engineer (Backend) - 台中 數據技術發展 (數數發中心, DDT)_I00020704",台中市,Taichung City,國泰金控_國泰金融控股股份有限公司,,5年以上,5+ years,金融控股業,Financial Holding,學歷不拘,No degree required
後端工程師,新北市,New Taipei City,大熊科技有限公司,"AWS, MongoDB, Node.js, Typescript",2年以上,2+ years,電腦軟體服務業,Software Services,學歷不拘,No degree required
【電子商務部】初階後端工程師｜電商自動化 × Python × 系統優化潛力股,新北市,New Taipei City,杰特企業有限公司,"Django, Javascript, Python",經歷不拘,Experience not required,綜合商品批發代理業,General Wholesale,專科,Associate Degree
PHP 後端助理工程師,新北市,New Taipei City,日日行銷廣告有限公司,Git,經歷不拘,Experience not required,電腦軟體服務業,Software Services,大學,Bachelor's Degree
Python後端工程師,台中市,Taichung City,新加坡商冕創有限公司,"Django, Git, Python",2年以上,2+ years,網際網路相關業,Internet,大學,Bachelor's Degree
Quality Assurance Engineer測試工程師(數位事業處數位營業部),新北市,New Taipei City,康軒文教事業股份有限公司,,經歷不拘,Experience not required,書籍出版業,Book Publishing,大學,Bachelor's Degree
後端工程師,台北市,Taipei City,集星資通股份有限公司,,2年以上,2+ years,電腦系統整合服務業,System Integration,學歷不拘,No degree required
前端工程師,台北市,Taipei City,智影顧問股份有限公司,"CSS, Git, HTML, Javascript, React, Typescript",1年以上,1+ year,電腦軟體服務業,Software Services,大學,Bachelor's Degree
資深後端工程師 / Senior Software Engineer - Backend (NodeJS),台北市,Taipei City,奕界科技有限公司,"Git, MongoDB, PostgreSQL, Typescript",5年以上,5+ years,電腦軟體服務業,Software Services,專科,Associate Degree
【工程部】Senior .NET Engineer｜消費事業(JIRA116),新北市,New Taipei City,全曜財經資訊股份有限公司,".NET, MongoDB",3年以上,3+ years,電腦軟體服務業,Software Services,專科,Associate Degree
營運管理-iOS工程師(內湖),台北市,Taipei City,瀚宇彩晶股份有限公司,,3年以上,3+ years,光電產業,Optoelectronics,大學,Bachelor's Degree
Web 前端工程師,台中市,Taichung City,智元科技有限公司,RWD,2年以上,2+ years,電腦軟體服務業,Software Services,高中,High School Diploma
IT 技術人員,高雄市,Kaohsiung City,大洋國際物聯網企業社,"CSS, HTML, Vue",經歷不拘,Experience not required,儲配／運輸物流業,Logistics,大學,Bachelor's Degree
CMS全端工程師,新北市,New Taipei City,鼎新數智股份有限公司,Vue,2年以上,2+ years,電腦軟體服務業,Software Services,專科,Associate Degree
後端實習生 (AI) Backend Intern,台北市,Taipei City,未來巢科技股份有限公司,"Django, Git, Python",經歷不拘,Experience not required,電腦軟體服務業,Software Services,大學,Bachelor's Degree
【資訊板塊】個人金融系統全端工程師(財富管理/信用卡/風控)_I00017399,台北市,Taipei City,國泰世華商業銀行股份有限公司,,1年以上,1+ year,銀行業,Banking,大學,Bachelor's Degree
VUE前端工程師（全遠端）,台北市,Taipei City,永宙數位科技有限公司,"CSS, Git, HTML, Javascript, RWD, Vue",經歷不拘,Experience not required,電腦軟體服務業,Software Services,大學,Bachelor's Degree
國網中心_雲端介面後端工程師-新竹或台北(不定期NCHC_114_03_08)v3,新竹市,Hsinchu City,財團法人國家實驗研究院,,經歷不拘,Experience not required,政府／民意機關,Government,碩士,Master's Degree
前端工程師,台北市,Taipei City,銓安智慧科技股份有限公司,"CSS, Git, Node.js, Typescript, Vue",2年以上,2+ years,電腦軟體服務業,Software Services,專科,Associate Degree
Senior Backend Developer,台北市,Taipei City,瑞典商普爾斯信息科技股份有限公司台灣分公司,"Java, Spring",3年以上,3+ years,其他電子零組件相關業,Other Electronic Components,專科,Associate Degree
數位發展部_前端工程師(研發處),桃園市,Taoyuan City,聯新國際醫院,"CSS, HTML, Javascript, Typescript, Vue",2年以上,2+ years,醫院,Hospitals,大學,Bachelor's Degree
【Powerhouse】前端工程師｜Front-end developer,台北市,Taipei City,修煉有意思股份有限公司,"Angular, Git, Javascript, React, Typescript, Vue",經歷不拘,Experience not required,電腦軟體服務業,Software Services,高中,High School Diploma
DevOps工程師,台中市,Taichung City,"RiConnect, Inc._振鈺數位服務股份有限公司",AWS,3年以上,3+ years,電腦軟體服務業,Software Services,大學,Bachelor's Degree
【土城廠】前端開發工程師,新北市,New Taipei City,家崎科技股份有限公司,"Git, Javascript, Vue",3年以上,3+ years,半導體製造業,Semiconductor Manufacturing,大學,Bachelor's Degree
PHP助理工程師,台中市,Taichung City,樂艷有限公司,"C#, CSS, HTML, Javascript",1年以上,1+ year,廣告行銷公關業,Advertising & PR,學歷不拘,No degree required
Senior Backend Engineer 資深後端工程師（Python）台北,台北市,Taipei City,瑞司智慧整合股份有限公司,"AWS, PostgreSQL, Python",經歷不拘,Experience not required,電腦系統整合服務業,System Integration,大學,Bachelor's Degree
後端工程師(研發二處),新北市,New Taipei City,55688集團_台灣智慧生活網股份有限公司,".NET, Azure, C#, CSS, Git, HTML, Javascript, SQL, Vue",2年以上,2+ years,網際網路相關業,Internet,大學,Bachelor's Degree
Python  駐點工程師(台北市松山區)(內部編號SI1-B3),台北市,Taipei City,艾帝浦杰股份有限公司,"Django, Python, React, SQL",3年以上,3+ years,電腦軟體服務業,Software Services,學歷不拘,No degree required
App Developer｜應用程式工程師,台北市,Taipei City,ULTRON 奧創_薩摩亞商奧創物聯有限公司台灣分公司,,3年以上,3+ years,其它軟體及網路相關業,Other IT,大學,Bachelor's Degree
寬頻網路工程師(無經驗可),台中市,Taichung City,大台中數位有線電視股份有限公司,,1年以上,1+ year,電信相關業,Telecom,專科,Associate Degree
Senior Backend Engineer 資深後端工程師（Python）台北,台北市,Taipei City,瑞司智慧整合股份有限公司,"AWS, PostgreSQL, Python",經歷不拘,Experience not required,電腦系統整合服務業,System Integration,大學,Bachelor's Degree
資安事件分析工程師,台北市,Taipei City,竣盟科技股份有限公司,,經歷不拘,Experience not required,電腦軟體服務業,Software Services,大學,Bachelor's Degree
寬頻網路工程師(無經驗可),台中市,Taichung City,大台中數位有線電視股份有限公司,,1年以上,1+ year,電信相關業,Telecom,專科,Associate Degree
韌體工程師,新北市,New Taipei City,競鋒科技有限公司,,3年以上,3+ years,消費性電子產品製造業,Consumer Electronics,大學,Bachelor's Degree
全端應用軟體工程師 （時薪制薪水無上限，時間彈性運用）,台北市,Taipei City,快組隊股份有限公司,"CSS, Django, Git, HTML, Java, Javascript, MongoDB, Node.js, PostgreSQL, Python, React, Spring, Vue",3年以上,3+ years,電腦軟體服務業,Software Services,大學,Bachelor's Degree
後端工程師,台北市,Taipei City,台灣新光保全股份有限公司(SKS),,2年以上,2+ years,保全樓管相關業,Security & Building Management,大學,Bachelor's Degree
資深前端工程師（Senior Frontend Engineer）,台北市,Taipei City,華陽創新科技股份有限公司,,5年以上,5+ years,其他投資理財相關業,Other Investment,大學,Bachelor's Degree
資深C#後端軟體工程師,台北市,Taipei City,潤新資訊股份有限公司,".NET, C#, Git, RWD, SQL",3年以上,3+ years,電腦軟體服務業,Software Services,大學,Bachelor's Degree
Java系統開發工程師 (PS2A0),高雄市,Kaohsiung City,資拓宏宇國際股份有限公司,"Git, Java, Vue",2年以上,2+ years,電腦軟體服務業,Software Services,專科,Associate Degree
資深前端工程師__I5051,台北市,Taipei City,FUNDAY_智擎數位科技股份有限公司,"Typescript, Vue",2年以上,2+ years,網際網路相關業,Internet,專科,Associate Degree
【活用日文】【日商】開放式職缺（Open Position）,台北市,Taipei City,日商卓一智能科技股份有限公司台灣分公司,,3年以上,3+ years,廣告行銷公關業,Advertising & PR,專科,Associate Degree
行政管理部資訊科資訊管理師,花蓮縣,Hualien County,財團法人台灣基督教門諾會附設花蓮縣私立黎明教養院,,經歷不拘,Experience not required,社會福利服務業,Social Services,專科,Associate Degree
全端軟體工程師,新北市,New Taipei City,芬里爾資料分析股份有限公司,"Angular, CSS, Django, Git, HTML, Javascript, PostgreSQL, Python, RWD, React, Typescript, Vue",經歷不拘,Experience not required,電腦軟體服務業,Software Services,大學,Bachelor's Degree
React前端工程師,台中市,Taichung City,塞席爾商瑞迪寰宇股份有限公司台灣分公司,Git,3年以上,3+ years,電腦及其週邊設備製造業,Computer Hardware,大學,Bachelor's Degree
前端工程師 Frontend Engineer,台北市,Taipei City,未來巢科技股份有限公司,"CSS, Django, Git, React, Typescript",經歷不拘,Experience not required,電腦軟體服務業,Software Services,大學,Bachelor's Degree
遊戲Server工程師(團隊擴編),新北市,New Taipei City,樂意傳播股份有限公司,,3年以上,3+ years,數位內容產業,Digital Content,大學,Bachelor's Degree
前端Angular工程師【現場/遠端工作】,高雄市,Kaohsiung City,資旅軟體開發有限公司,"Angular, CSS, HTML, Javascript",經歷不拘,Experience not required,其它軟體及網路相關業,Other IT,大學,Bachelor's Degree
前端工程師,台北市,Taipei City,維肯媒體股份有限公司,"Azure, CSS, Git, HTML, Javascript, RWD, Typescript, Vue",2年以上,2+ years,廣告行銷公關業,Advertising & PR,專科,Associate Degree
軟體開發工程師,新北市,New Taipei City,南亞科技股份有限公司,,經歷不拘,Experience not required,半導體製造業,Semiconductor Manufacturing,大學,Bachelor's Degree
H19-資訊專員(台中會本部),台中市,Taichung City,家扶基金會_財團法人台灣兒童暨家庭扶助基金會,".NET, C#, CSS, Git, HTML, SQL, Vue",1年以上,1+ year,社會福利服務業,Social Services,大學,Bachelor's Degree
火星生技【資訊處】-iOS 資深工程師（Senior iOS Engineer）,台北市,Taipei City,火星生技股份有限公司,,3年以上,3+ years,食品什貨零售業,Food Retail,高中以下,Below High School
網路應用全端工程師(專任助理),桃園市,Taoyuan City,國立中央大學_太空及遙測研究中心,,經歷不拘,Experience not required,大專校院教育事業,Higher Education,大學,Bachelor's Degree
軟體測試工程師(帳務系統),台北市,Taipei City,凱衛資訊股份有限公司,,1年以上,1+ year,電腦系統整合服務業,System Integration,專科,Associate Degree
Vue.JS 網頁前端工程師,桃園市,Taoyuan City,香港商天宏軟體製作有限公司台灣分公司,"CSS, HTML, Javascript, RWD, Vue",2年以上,2+ years,電腦軟體服務業,Software Services,大學,Bachelor's Degree
【網路行銷部】PHP後端工程師,台北市,Taipei City,錠嵂保險經紀人股份有限公司,,2年以上,2+ years,人身保險業,Life Insurance,大學,Bachelor's Degree
產品長/技術長,台北市,Taipei City,配客嘉股份有限公司,,3年以上,3+ years,物品租賃業,Rental Services,大學,Bachelor's Degree
